"n","k","beta1","beta2","beta3","rep","LC"
100,10,0.1,0.1,0.1,1,1
100,10,0.1,0.1,0.1,2,1
100,10,0.1,0.1,0.1,3,1
100,10,0.1,0.1,0.1,4,1
100,10,0.1,0.1,0.1,5,1
100,10,0.1,0.1,0.1,6,1
100,10,0.1,0.1,0.1,7,1
100,10,0.1,0.1,0.1,8,1
100,10,0.1,0.1,0.1,9,1
100,10,0.1,0.1,0.1,10,1
100,10,0.1,0.1,0.1,11,1
100,10,0.1,0.1,0.1,12,1
100,10,0.1,0.1,0.1,13,1
100,10,0.1,0.1,0.1,14,1
100,10,0.1,0.1,0.1,15,1
100,10,0.1,0.1,0.1,16,1
100,10,0.1,0.1,0.1,17,0.999999999999972
100,10,0.1,0.1,0.1,18,1
100,10,0.1,0.1,0.1,19,29.4073494374685
100,10,0.1,0.1,0.1,20,1
100,10,0.1,0.1,0.1,21,1
100,10,0.1,0.1,0.1,22,1
100,10,0.1,0.1,0.1,23,1
100,10,0.1,0.1,0.1,24,1
100,10,0.1,0.1,0.1,25,1
100,10,0.1,0.1,0.1,26,1
100,10,0.1,0.1,0.1,27,1
100,10,0.1,0.1,0.1,28,1
100,10,0.1,0.1,0.1,29,1
100,10,0.1,0.1,0.1,30,1
1000,10,0.1,0.1,0.1,1,1
1000,10,0.1,0.1,0.1,2,1
1000,10,0.1,0.1,0.1,3,1
1000,10,0.1,0.1,0.1,4,1
1000,10,0.1,0.1,0.1,5,1
1000,10,0.1,0.1,0.1,6,1
1000,10,0.1,0.1,0.1,7,1
1000,10,0.1,0.1,0.1,8,1
1000,10,0.1,0.1,0.1,9,1
1000,10,0.1,0.1,0.1,10,1
1000,10,0.1,0.1,0.1,11,1
1000,10,0.1,0.1,0.1,12,1
1000,10,0.1,0.1,0.1,13,1
1000,10,0.1,0.1,0.1,14,1
1000,10,0.1,0.1,0.1,15,1
1000,10,0.1,0.1,0.1,16,1
1000,10,0.1,0.1,0.1,17,1
1000,10,0.1,0.1,0.1,18,1
1000,10,0.1,0.1,0.1,19,1
1000,10,0.1,0.1,0.1,20,1
1000,10,0.1,0.1,0.1,21,1
1000,10,0.1,0.1,0.1,22,1
1000,10,0.1,0.1,0.1,23,1
1000,10,0.1,0.1,0.1,24,1
1000,10,0.1,0.1,0.1,25,1
1000,10,0.1,0.1,0.1,26,1
1000,10,0.1,0.1,0.1,27,1
1000,10,0.1,0.1,0.1,28,1
1000,10,0.1,0.1,0.1,29,1
1000,10,0.1,0.1,0.1,30,1
10000,10,0.1,0.1,0.1,1,1
10000,10,0.1,0.1,0.1,2,1
10000,10,0.1,0.1,0.1,3,1
10000,10,0.1,0.1,0.1,4,1
10000,10,0.1,0.1,0.1,5,1
10000,10,0.1,0.1,0.1,6,1
10000,10,0.1,0.1,0.1,7,1
10000,10,0.1,0.1,0.1,8,1
10000,10,0.1,0.1,0.1,9,1
10000,10,0.1,0.1,0.1,10,1
10000,10,0.1,0.1,0.1,11,1
10000,10,0.1,0.1,0.1,12,1
10000,10,0.1,0.1,0.1,13,1
10000,10,0.1,0.1,0.1,14,1
10000,10,0.1,0.1,0.1,15,1
10000,10,0.1,0.1,0.1,16,1
10000,10,0.1,0.1,0.1,17,1
10000,10,0.1,0.1,0.1,18,1
10000,10,0.1,0.1,0.1,19,1
10000,10,0.1,0.1,0.1,20,1
10000,10,0.1,0.1,0.1,21,1
10000,10,0.1,0.1,0.1,22,1
10000,10,0.1,0.1,0.1,23,1
10000,10,0.1,0.1,0.1,24,1
10000,10,0.1,0.1,0.1,25,1
10000,10,0.1,0.1,0.1,26,1
10000,10,0.1,0.1,0.1,27,1
10000,10,0.1,0.1,0.1,28,1
10000,10,0.1,0.1,0.1,29,1
10000,10,0.1,0.1,0.1,30,1
100,50,0.1,0.1,0.1,1,1
100,50,0.1,0.1,0.1,2,1
100,50,0.1,0.1,0.1,3,1
100,50,0.1,0.1,0.1,4,1
100,50,0.1,0.1,0.1,5,3.07529031425047e+62
100,50,0.1,0.1,0.1,6,1
100,50,0.1,0.1,0.1,7,1
100,50,0.1,0.1,0.1,8,1
100,50,0.1,0.1,0.1,9,1
100,50,0.1,0.1,0.1,10,5.4378598519133
100,50,0.1,0.1,0.1,11,1
100,50,0.1,0.1,0.1,12,1
100,50,0.1,0.1,0.1,13,1
100,50,0.1,0.1,0.1,14,1
100,50,0.1,0.1,0.1,15,1
100,50,0.1,0.1,0.1,16,1
100,50,0.1,0.1,0.1,17,1
100,50,0.1,0.1,0.1,18,1
100,50,0.1,0.1,0.1,19,0.999999999999972
100,50,0.1,0.1,0.1,20,1
100,50,0.1,0.1,0.1,21,1
100,50,0.1,0.1,0.1,22,1
100,50,0.1,0.1,0.1,23,1
100,50,0.1,0.1,0.1,24,1
100,50,0.1,0.1,0.1,25,1
100,50,0.1,0.1,0.1,26,1
100,50,0.1,0.1,0.1,27,1
100,50,0.1,0.1,0.1,28,1
100,50,0.1,0.1,0.1,29,1
100,50,0.1,0.1,0.1,30,1
1000,50,0.1,0.1,0.1,1,1
1000,50,0.1,0.1,0.1,2,0.999999999999773
1000,50,0.1,0.1,0.1,3,1
1000,50,0.1,0.1,0.1,4,1
1000,50,0.1,0.1,0.1,5,1
1000,50,0.1,0.1,0.1,6,1
1000,50,0.1,0.1,0.1,7,1
1000,50,0.1,0.1,0.1,8,1
1000,50,0.1,0.1,0.1,9,1
1000,50,0.1,0.1,0.1,10,1
1000,50,0.1,0.1,0.1,11,1
1000,50,0.1,0.1,0.1,12,1
1000,50,0.1,0.1,0.1,13,1
1000,50,0.1,0.1,0.1,14,1
1000,50,0.1,0.1,0.1,15,1
1000,50,0.1,0.1,0.1,16,1
1000,50,0.1,0.1,0.1,17,1
1000,50,0.1,0.1,0.1,18,1
1000,50,0.1,0.1,0.1,19,1
1000,50,0.1,0.1,0.1,20,1
1000,50,0.1,0.1,0.1,21,1
1000,50,0.1,0.1,0.1,22,1
1000,50,0.1,0.1,0.1,23,1
1000,50,0.1,0.1,0.1,24,1
1000,50,0.1,0.1,0.1,25,1
1000,50,0.1,0.1,0.1,26,1
1000,50,0.1,0.1,0.1,27,1
1000,50,0.1,0.1,0.1,28,1
1000,50,0.1,0.1,0.1,29,1
1000,50,0.1,0.1,0.1,30,1
10000,50,0.1,0.1,0.1,1,1
10000,50,0.1,0.1,0.1,2,1
10000,50,0.1,0.1,0.1,3,1
10000,50,0.1,0.1,0.1,4,1
10000,50,0.1,0.1,0.1,5,1
10000,50,0.1,0.1,0.1,6,1
10000,50,0.1,0.1,0.1,7,1
10000,50,0.1,0.1,0.1,8,1
10000,50,0.1,0.1,0.1,9,1
10000,50,0.1,0.1,0.1,10,1
10000,50,0.1,0.1,0.1,11,1
10000,50,0.1,0.1,0.1,12,1
10000,50,0.1,0.1,0.1,13,1
10000,50,0.1,0.1,0.1,14,1
10000,50,0.1,0.1,0.1,15,1
10000,50,0.1,0.1,0.1,16,1
10000,50,0.1,0.1,0.1,17,1
10000,50,0.1,0.1,0.1,18,1
10000,50,0.1,0.1,0.1,19,1
10000,50,0.1,0.1,0.1,20,1
10000,50,0.1,0.1,0.1,21,1
10000,50,0.1,0.1,0.1,22,1
10000,50,0.1,0.1,0.1,23,1
10000,50,0.1,0.1,0.1,24,1
10000,50,0.1,0.1,0.1,25,1
10000,50,0.1,0.1,0.1,26,1
10000,50,0.1,0.1,0.1,27,1
10000,50,0.1,0.1,0.1,28,1
10000,50,0.1,0.1,0.1,29,1
10000,50,0.1,0.1,0.1,30,1
100,100,0.1,0.1,0.1,1,1
100,100,0.1,0.1,0.1,2,1
100,100,0.1,0.1,0.1,3,1
100,100,0.1,0.1,0.1,4,1
100,100,0.1,0.1,0.1,5,1
100,100,0.1,0.1,0.1,6,1
100,100,0.1,0.1,0.1,7,1
100,100,0.1,0.1,0.1,8,1
100,100,0.1,0.1,0.1,9,1
100,100,0.1,0.1,0.1,10,1
100,100,0.1,0.1,0.1,11,1
100,100,0.1,0.1,0.1,12,1
100,100,0.1,0.1,0.1,13,1
100,100,0.1,0.1,0.1,14,1
100,100,0.1,0.1,0.1,15,0.802347449531854
100,100,0.1,0.1,0.1,16,1
100,100,0.1,0.1,0.1,17,1
100,100,0.1,0.1,0.1,18,1
100,100,0.1,0.1,0.1,19,71.1893996907854
100,100,0.1,0.1,0.1,20,1
100,100,0.1,0.1,0.1,21,1
100,100,0.1,0.1,0.1,22,1
100,100,0.1,0.1,0.1,23,1
100,100,0.1,0.1,0.1,24,1
100,100,0.1,0.1,0.1,25,1
100,100,0.1,0.1,0.1,26,1
100,100,0.1,0.1,0.1,27,1
100,100,0.1,0.1,0.1,28,1
100,100,0.1,0.1,0.1,29,1
100,100,0.1,0.1,0.1,30,1
1000,100,0.1,0.1,0.1,1,1
1000,100,0.1,0.1,0.1,2,1
1000,100,0.1,0.1,0.1,3,1
1000,100,0.1,0.1,0.1,4,1
1000,100,0.1,0.1,0.1,5,1
1000,100,0.1,0.1,0.1,6,1
1000,100,0.1,0.1,0.1,7,1
1000,100,0.1,0.1,0.1,8,1
1000,100,0.1,0.1,0.1,9,1
1000,100,0.1,0.1,0.1,10,1
1000,100,0.1,0.1,0.1,11,1
1000,100,0.1,0.1,0.1,12,1
1000,100,0.1,0.1,0.1,13,1
1000,100,0.1,0.1,0.1,14,1
1000,100,0.1,0.1,0.1,15,1
1000,100,0.1,0.1,0.1,16,1
1000,100,0.1,0.1,0.1,17,1
1000,100,0.1,0.1,0.1,18,1
1000,100,0.1,0.1,0.1,19,1
1000,100,0.1,0.1,0.1,20,1
1000,100,0.1,0.1,0.1,21,1
1000,100,0.1,0.1,0.1,22,1
1000,100,0.1,0.1,0.1,23,1
1000,100,0.1,0.1,0.1,24,1
1000,100,0.1,0.1,0.1,25,1
1000,100,0.1,0.1,0.1,26,1
1000,100,0.1,0.1,0.1,27,1
1000,100,0.1,0.1,0.1,28,1
1000,100,0.1,0.1,0.1,29,1
1000,100,0.1,0.1,0.1,30,1
10000,100,0.1,0.1,0.1,1,1
10000,100,0.1,0.1,0.1,2,1
10000,100,0.1,0.1,0.1,3,1
10000,100,0.1,0.1,0.1,4,1
10000,100,0.1,0.1,0.1,5,1
10000,100,0.1,0.1,0.1,6,1
10000,100,0.1,0.1,0.1,7,1
10000,100,0.1,0.1,0.1,8,1
10000,100,0.1,0.1,0.1,9,1
10000,100,0.1,0.1,0.1,10,1
10000,100,0.1,0.1,0.1,11,1
10000,100,0.1,0.1,0.1,12,1
10000,100,0.1,0.1,0.1,13,1
10000,100,0.1,0.1,0.1,14,1
10000,100,0.1,0.1,0.1,15,1
10000,100,0.1,0.1,0.1,16,1
10000,100,0.1,0.1,0.1,17,1
10000,100,0.1,0.1,0.1,18,1
10000,100,0.1,0.1,0.1,19,1
10000,100,0.1,0.1,0.1,20,1
10000,100,0.1,0.1,0.1,21,1
10000,100,0.1,0.1,0.1,22,1
10000,100,0.1,0.1,0.1,23,1
10000,100,0.1,0.1,0.1,24,1
10000,100,0.1,0.1,0.1,25,1
10000,100,0.1,0.1,0.1,26,1
10000,100,0.1,0.1,0.1,27,1
