"n","k","beta1","beta2","beta3","rep","LC","LR"
100,10,0.1,0.1,0.1,1,1,1
100,10,0.1,0.1,0.1,2,1,1
100,10,0.1,0.1,0.1,3,1,1
100,10,0.1,0.1,0.1,4,1,1
100,10,0.1,0.1,0.1,5,1,1
100,10,0.1,0.1,0.1,6,1,1
100,10,0.1,0.1,0.1,7,1,1
100,10,0.1,0.1,0.1,8,1,1
100,10,0.1,0.1,0.1,9,1,1
100,10,0.1,0.1,0.1,10,1,1
100,10,0.1,0.1,0.1,11,1,1
100,10,0.1,0.1,0.1,12,1,1
100,10,0.1,0.1,0.1,13,1,1
100,10,0.1,0.1,0.1,14,1,1
100,10,0.1,0.1,0.1,15,1,1
100,10,0.1,0.1,0.1,16,1,1
100,10,0.1,0.1,0.1,17,0.999999999999972,1.00000000000003
100,10,0.1,0.1,0.1,18,1,1
100,10,0.1,0.1,0.1,19,29.4073494374685,0.034005104816617
100,10,0.1,0.1,0.1,20,1,1
100,10,0.1,0.1,0.1,21,1,1
100,10,0.1,0.1,0.1,22,1,1
100,10,0.1,0.1,0.1,23,1,1
100,10,0.1,0.1,0.1,24,1,1
100,10,0.1,0.1,0.1,25,1,1
100,10,0.1,0.1,0.1,26,1,1
100,10,0.1,0.1,0.1,27,1,1
100,10,0.1,0.1,0.1,28,1,1
100,10,0.1,0.1,0.1,29,1,1
100,10,0.1,0.1,0.1,30,1,1
1000,10,0.1,0.1,0.1,1,1,1
1000,10,0.1,0.1,0.1,2,1,1
1000,10,0.1,0.1,0.1,3,1,1
1000,10,0.1,0.1,0.1,4,1,1
1000,10,0.1,0.1,0.1,5,1,1
1000,10,0.1,0.1,0.1,6,1,1
1000,10,0.1,0.1,0.1,7,1,1
1000,10,0.1,0.1,0.1,8,1,1
1000,10,0.1,0.1,0.1,9,1,1
1000,10,0.1,0.1,0.1,10,1,1
1000,10,0.1,0.1,0.1,11,1,1
1000,10,0.1,0.1,0.1,12,1,1
1000,10,0.1,0.1,0.1,13,1,1
1000,10,0.1,0.1,0.1,14,1,1
1000,10,0.1,0.1,0.1,15,1,1
1000,10,0.1,0.1,0.1,16,1,1
1000,10,0.1,0.1,0.1,17,1,1
1000,10,0.1,0.1,0.1,18,1,1
1000,10,0.1,0.1,0.1,19,1,1
1000,10,0.1,0.1,0.1,20,1,1
1000,10,0.1,0.1,0.1,21,1,1
